ISO_Date,Inflation_Rates_Adjusted
2014-01,2456.4
2014-02,2440.21
2014-03,2486.61
2014-04,2479.43
2014-05,2504.61
2014-06,2575.78
2014-07,2611.21
2014-08,2600.24
2014-09,2640.28
2014-10,2572.61
2014-11,2729.84
2014-12,2758.43
2015-01,2736.28
2015-02,2797.01
2015-03,2777.51
2015-04,2791.69
2015-05,2800.18
2015-06,2773.69
2015-07,2766.7
2015-08,2698.82
2015-09,2576.54
2015-10,2684.28
2015-11,2764.1
2015-12,2738.2
2016-01,2553.38
2016-02,2532.42
2016-03,2677.18
2016-04,2735.17
2016-05,2711.04
2016-06,2726.16
2016-07,2815.76
2016-08,2842.04
2016-09,2817.91
2016-10,2795.26
2016-11,2828.32
2016-12,2934.01
2017-01,2954.0
2017-02,3015.66
2017-03,3060.94
2017-04,3042.21
2017-05,3086.04
2017-06,3132.98
2017-07,3161.05
2017-08,3154.33
2017-09,3184.5
2017-10,3268.53
2017-11,3315.24
2017-12,3407.66
2018-01,3548.79
2018-02,3425.58
2018-03,3414.84
2018-04,3339.48
2018-05,3385.62
2018-06,3446.38
2018-07,3495.3
2018-08,3573.62
2018-09,3624.03
2018-10,3472.96
2018-11,3406.78
2018-12,3222.01
2019-01,3266.08
2019-02,3436.28
2019-03,3477.93
2019-04,3582.78
2019-05,3514.72
2019-06,3557.67
2019-07,3681.93
2019-08,3560.93
2019-09,3662.1
2019-10,3648.26
2019-11,3806.18
2019-12,3897.8
2020-01,4006.73
2020-02,3994.7
2020-03,3240.04
2020-04,3396.61
2020-05,3590.4
2020-06,3797.18
2020-07,3903.36
2020-08,4114.41
2020-09,4076.96
2020-10,4139.67
2020-11,4300.06
2020-12,4473.13
2021-01,4572.84
2021-02,4655.46
2021-03,4654.94
2021-04,4889.34
2021-05,4881.69
2021-06,4918.73
2021-07,5039.81
2021-08,5133.72
2021-09,5109.85
2021-10,5085.04
2021-11,5294.63
2021-12,5286.76
2022-01,5129.43
2022-02,4929.82
2022-03,4815.83
2022-04,4789.13
2022-05,4358.35
2022-06,4148.82
2022-07,4162.92
2022-08,4427.17
2022-09,4090.43
2022-10,3942.22
2022-11,4148.95
2022-12,4156.3
2023-01,4174.21
2023-02,4275.79
2023-03,4145.6
2023-04,4283.66
2023-05,4298.51
2023-06,4490.53
2023-07,4649.8
2023-08,4545.53
2023-09,4516.7
2023-10,4364.6
2023-11,4579.9
2023-12,4815.72
2024-01,4911.73
2024-02,5092.31
2024-03,5219.72
2024-04,5141.08
2024-05,5255.76
2024-06,5434.55
2024-07,5551.4
2024-08,5487.0
2024-09,5621.26
2024-10,5756.33
2024-10,5827.37
