ISO_Date,Inflation_Rates
2000-01,2.7
2000-02,3.2
2000-03,3.8
2000-04,3.1
2000-05,3.2
2000-06,3.7
2000-07,3.7
2000-08,3.4
2000-09,3.5
2000-10,3.4
2000-11,3.4
2000-12,3.4
2001-01,3.7
2001-02,3.5
2001-03,2.9
2001-04,3.3
2001-05,3.6
2001-06,3.2
2001-07,2.7
2001-08,2.7
2001-09,2.6
2001-10,2.1
2001-11,1.9
2001-12,1.6
2002-01,1.1
2002-02,1.1
2002-03,1.5
2002-04,1.6
2002-05,1.2
2002-06,1.1
2002-07,1.5
2002-08,1.8
2002-09,1.5
2002-10,2.0
2002-11,2.2
2002-12,2.4
2003-01,2.6
2003-02,3.0
2003-03,3.0
2003-04,2.2
2003-05,2.1
2003-06,2.1
2003-07,2.1
2003-08,2.2
2003-09,2.3
2003-10,2.0
2003-11,1.8
2003-12,1.9
2004-01,1.9
2004-02,1.7
2004-03,1.7
2004-04,2.3
2004-05,3.1
2004-06,3.3
2004-07,3.0
2004-08,2.7
2004-09,2.5
2004-10,3.2
2004-11,3.5
2004-12,3.3
2005-01,3.0
2005-02,3.0
2005-03,3.1
2005-04,3.5
2005-05,2.8
2005-06,2.5
2005-07,3.2
2005-08,3.6
2005-09,4.7
2005-10,4.3
2005-11,3.5
2005-12,3.4
2006-01,4.0
2006-02,3.6
2006-03,3.4
2006-04,3.5
2006-05,4.2
2006-06,4.3
2006-07,4.1
2006-08,3.8
2006-09,2.1
2006-10,1.3
2006-11,2.0
2006-12,2.5
2007-01,2.1
2007-02,2.4
2007-03,2.8
2007-04,2.6
2007-05,2.7
2007-06,2.7
2007-07,2.4
2007-08,2.0
2007-09,2.8
2007-10,3.5
2007-11,4.3
2007-12,4.1
2008-01,4.3
2008-02,4.0
2008-03,4.0
2008-04,3.9
2008-05,4.2
2008-06,5.0
2008-07,5.6
2008-08,5.4
2008-09,4.9
2008-10,3.7
2008-11,1.1
2008-12,0.1
2009-01,0.0
2009-02,0.2
2009-03,-0.4
2009-04,-0.7
2009-05,-1.3
2009-06,-1.4
2009-07,-2.1
2009-08,-1.5
2009-09,-1.3
2009-10,-0.2
2009-11,1.8
2009-12,2.7
2010-01,2.6
2010-02,2.1
2010-03,2.3
2010-04,2.2
2010-05,2.0
2010-06,1.1
2010-07,1.2
2010-08,1.1
2010-09,1.1
2010-10,1.2
2010-11,1.1
2010-12,1.5
2011-01,1.6
2011-02,2.1
2011-03,2.7
2011-04,3.2
2011-05,3.6
2011-06,3.6
2011-07,3.6
2011-08,3.8
2011-09,3.9
2011-10,3.5
2011-11,3.4
2011-12,3.0
2012-01,2.9
2012-02,2.9
2012-03,2.7
2012-04,2.3
2012-05,1.7
2012-06,1.7
2012-07,1.4
2012-08,1.7
2012-09,2.0
2012-10,2.2
2012-11,1.8
2012-12,1.7
2013-01,1.6
2013-02,2.0
2013-03,1.5
2013-04,1.1
2013-05,1.4
2013-06,1.8
2013-07,2.0
2013-08,1.5
2013-09,1.2
2013-10,1.0
2013-11,1.2
2013-12,1.5
2014-01,1.6
2014-02,1.1
2014-03,1.5
2014-04,2.0
2014-05,2.1
2014-06,2.1
2014-07,2.0
2014-08,1.7
2014-09,1.7
2014-10,1.7
2014-11,1.3
2014-12,0.8
2015-01,-0.1
2015-02,0.0
2015-03,-0.1
2015-04,-0.2
2015-05,0.0
2015-06,0.1
2015-07,0.2
2015-08,0.2
2015-09,0.0
2015-10,0.2
2015-11,0.5
2015-12,0.7
2016-01,1.4
2016-02,1.0
2016-03,0.9
2016-04,1.1
2016-05,1.0
2016-06,1.0
2016-07,0.8
2016-08,1.1
2016-09,1.5
2016-10,1.6
2016-11,1.7
2016-12,2.1
2017-01,2.5
2017-02,2.7
2017-03,2.4
2017-04,2.2
2017-05,1.9
2017-06,1.6
2017-07,1.7
2017-08,1.9
2017-09,2.2
2017-10,2.0
2017-11,2.2
2017-12,2.1
2018-01,2.1
2018-02,2.2
2018-03,2.4
2018-04,2.5
2018-05,2.8
2018-06,2.9
2018-07,2.9
2018-08,2.7
2018-09,2.3
2018-10,2.5
2018-11,2.2
2018-12,1.9
2019-01,1.6
2019-02,1.5
2019-03,1.9
2019-04,2.0
2019-05,1.8
2019-06,1.6
2019-07,1.8
2019-08,1.7
2019-09,1.7
2019-10,1.8
2019-11,2.1
2019-12,2.3
2020-01,2.5
2020-02,2.3
2020-03,1.5
2020-04,0.3
2020-05,0.1
2020-06,0.6
2020-07,1.0
2020-08,1.3
2020-09,1.4
2020-10,1.2
2020-11,1.2
2020-12,1.4
2021-01,1.4
2021-02,1.7
2021-03,2.6
2021-04,4.2
2021-05,5.0
2021-06,5.4
2021-07,5.4
2021-08,5.3
2021-09,5.4
2021-10,6.2
2021-11,6.8
2021-12,7.0
2022-01,7.5
2022-02,7.9
2022-03,8.5
2022-04,8.3
2022-05,8.6
2022-06,9.1
2022-07,8.5
2022-08,8.3
2022-09,8.2
2022-10,7.7
2022-11,7.1
2022-12,6.5
2023-01,6.4
2023-02,6.0
2023-03,5.0
2023-04,4.9
2023-05,4.0
2023-06,3.0
2023-07,3.2
2023-08,3.7
2023-09,3.7
2023-10,3.2
2023-11,3.1
2023-12,3.4
2024-01,3.1
2024-02,3.2
2024-03,3.5
2024-04,3.4
2024-05,3.3
2024-06,3.0
2024-07,2.9
2024-08,2.5
2024-09,2.4
2024-10,13.0
2024-11,
2024-12,
