ISO_Date,Non_Inflation_Adjusted
2024-10-28,5827.37
2024-10-01,5756.33
2024-09-01,5621.26
2024-08-01,5478.21
2024-07-01,5538.0
2024-06-01,5415.14
2024-05-01,5235.22
2024-04-01,5112.49
2024-03-01,5170.57
2024-02-01,5011.96
2024-01-01,4804.49
2023-12-01,4685.05
2023-11-01,4460.06
2023-10-01,4258.98
2023-09-01,4409.1
2023-08-01,4426.24
2023-07-01,4508.08
2023-06-01,4345.37
2023-05-01,4146.17
2023-04-01,4121.47
2023-03-01,3968.56
2023-02-01,4079.68
2023-01-01,3960.66
2022-12-01,3912.38
2022-11-01,3917.49
2022-10-01,3726.05
2022-09-01,3850.52
2022-08-01,4158.56
2022-07-01,3911.73
2022-06-01,3898.95
2022-05-01,4040.36
2022-04-01,4391.3
2022-03-01,4391.27
2022-02-01,4435.98
2022-01-01,4573.82
2021-12-01,4674.77
2021-11-01,4667.39
2021-10-01,4460.71
2021-09-01,4445.54
2021-08-01,4454.21
2021-07-01,4363.71
2021-06-01,4238.49
2021-05-01,4167.85
2021-04-01,4141.18
2021-03-01,3910.51
2021-02-01,3883.43
2021-01-01,3793.75
2020-12-01,3695.31
2020-11-01,3548.99
2020-10-01,3418.7
2020-09-01,3365.52
2020-08-01,3391.71
2020-07-01,3207.62
2020-06-01,3104.66
2020-05-01,2919.61
2020-04-01,2761.98
2020-03-01,2652.39
2020-02-01,3277.31
2020-01-01,3278.2
2019-12-01,3176.75
2019-11-01,3104.9
2019-10-01,2977.68
2019-09-01,2982.16
2019-08-01,2897.5
2019-07-01,2996.11
2019-06-01,2890.17
2019-05-01,2854.71
2019-04-01,2903.8
2019-03-01,2803.98
2019-02-01,2754.86
2019-01-01,2607.39
2018-12-01,2567.31
2018-11-01,2723.23
2018-10-01,2785.46
2018-09-01,2901.5
2018-08-01,2857.82
2018-07-01,2793.64
2018-06-01,2754.35
2018-05-01,2701.49
2018-04-01,2653.63
2018-03-01,2702.77
2018-02-01,2705.16
2018-01-01,2789.8
2017-12-01,2664.34
2017-11-01,2593.61
2017-10-01,2557.0
2017-09-01,2492.84
2017-08-01,2456.22
2017-07-01,2454.1
2017-06-01,2433.99
2017-05-01,2395.35
2017-04-01,2359.31
2017-03-01,2366.82
2017-02-01,2329.91
2017-01-01,2275.12
2016-12-01,2246.63
2016-11-01,2164.99
2016-10-01,2143.02
2016-09-01,2157.69
2016-08-01,2170.95
2016-07-01,2148.9
2016-06-01,2083.89
2016-05-01,2065.55
2016-04-01,2075.54
2016-03-01,2021.95
2016-02-01,1904.42
2016-01-01,1918.6
2015-12-01,2054.08
2015-11-01,2080.62
2015-10-01,2024.81
2015-09-01,1944.41
2015-08-01,2039.87
2015-07-01,2094.14
2015-06-01,2099.29
2015-05-01,2111.94
2015-04-01,2094.86
2015-03-01,2079.99
2015-02-01,2082.2
2015-01-01,2028.18
2014-12-01,2054.27
2014-11-01,2044.57
2014-10-01,1937.27
2014-09-01,1993.23
2014-08-01,1961.53
2014-07-01,1973.1
2014-06-01,1947.09
2014-05-01,1889.77
2014-04-01,1864.26
2014-03-01,1863.52
2014-02-01,1817.04
2014-01-01,1822.36
