ISO_Date,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index
1992-01,6315.718,10177.807
1992-02,6356.508,10222.919
1992-03,6417.079,10307.964
1992-04,6443.259,10314.309
1992-05,6433.8,10293.473
1992-06,6535.229,10433.83
1992-07,6557.307,10451.327
1992-08,6556.893,10431.177
1992-09,6585.723,10465.874
1992-10,6637.251,10525.0
1992-11,6680.23,10555.456
1992-12,6724.928,10594.716
1993-01,6718.518,10578.492
1993-02,6741.423,10594.478
1993-03,6728.436,10555.041
1993-04,6767.885,10596.253
1993-05,6824.294,10659.355
1993-06,6834.639,10657.068
1993-07,6832.663,10631.603
1993-08,6874.167,10675.028
1993-09,6939.464,10758.304
1993-10,6944.544,10753.394
1993-11,7035.932,10860.531
1993-12,7060.738,10887.19
1994-01,7074.376,10886.227
1994-02,7122.912,10947.639
1994-03,7149.667,10982.642
1994-04,7186.468,11019.152
1994-05,7290.063,11127.609
1994-06,7264.262,11114.421
1994-07,7299.351,11118.524
1994-08,7351.562,11193.608
1994-09,7342.313,11143.678
1994-10,7429.157,11246.966
1994-11,7431.638,11239.42
1994-12,7505.069,11353.015
1995-01,7542.278,11356.541
1995-02,7488.455,11272.218
1995-03,7536.134,11331.012
1995-04,7539.265,11297.403
1995-05,7560.683,11327.566
1995-06,7643.044,11436.585
1995-07,7630.432,11379.881
1995-08,7674.169,11441.698
1995-09,7744.774,11529.883
1995-10,7747.188,11480.594
1995-11,7747.777,11499.133
1995-12,7822.792,11605.554
1996-01,7839.889,11583.787
1996-02,7853.005,11600.079
1996-03,7912.51,11661.269
1996-04,8025.243,11818.638
1996-05,8009.311,11777.135
1996-06,8063.967,11830.545
1996-07,8099.373,11876.275
1996-08,8123.03,11909.594
1996-09,8171.82,11957.734
1996-10,8250.676,12038.952
1996-11,8281.816,12061.711
1996-12,8246.821,12013.989
1997-01,8308.873,12085.303
1997-02,8385.604,12170.657
1997-03,8393.488,12091.73
1997-04,8511.35,12359.841
1997-05,8476.524,12240.831
