Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Dvkj6JhhA12EX05fT7y2e,"6KImCVD70vtIoJWnq6nGn3","As It Was","Harry's House","Harry Styles",2022-05-20,167303,95,spotify:user:,2022-11-30T13:47:00Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
3USxtqRwSYz57Ewm6wWRMp,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,90,spotify:user:,2022-11-30T13:47:00Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
5HCyWlXZPP0y6Gqq8TgA20,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,85,spotify:user:,2022-11-30T13:47:00Z,"australian hip hop,canadian pop,pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
6Sq7ltF9Qa7SNFBsV5Cogx,"4q3ewBCX7sLwd24euuV69X,37230BxxYs9ksS7OkZw3IU","Me Porto Bonito","Un Verano Sin Ti","Bad Bunny,Chencho Corleone",2022-05-06,178567,89,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino,reggaeton flow",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
1IHWl5LamUGEuP4ozKQSXZ,"4q3ewBCX7sLwd24euuV69X","Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,87,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
6zSpb8dQRaw0M1dK8PBwQz,"3PhoLpVuITZKcymswpck5b,6M2wZ9GZgrQXHCFfjv46we,6n28c9qs9hNGriNa72b26u","Cold Heart - PNAU Remix","Cold Heart (PNAU Remix)","Elton John,Dua Lipa,PNAU",2021-08-13,202735,85,spotify:user:,2022-11-30T13:47:00Z,"glam rock,mellow gold,piano rock,rock,dance pop,pop,uk pop,alternative dance,aussietronica,australian dance,australian electropop",0.796,0.798,1,-6.312,1,0.0317,0.034,0.0000419,0.0952,0.942,116.032,4
1r9xUipOqoNwggBpENDsvJ,"53XhwfbYqKCa1cC15pYq2q,6U3ybJ9UHNKEdsH7ktGBZ7,57nPqD7z62gDdq37US9XJR,47mIJdHORyRerp4os813jD","Enemy (with JID) - from the series Arcane League of Legends","Enemy (with JID) [from the series Arcane League of Legends]","Imagine Dragons,JID,Arcane,League of Legends",2021-10-28,173381,80,spotify:user:,2022-11-30T13:47:00Z,"modern rock,pop,rock,hip hop,pop rap,rap,underground hip hop,speedrun,video game music",0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4
2tTmW7RDtMQtBk7m2rYeSw,"716NhGYqD1jl2wI1Qkgq36,52iwsT98xCoGgiGntTiR7K","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo",2022-07-06,198937,89,spotify:user:,2022-11-30T13:47:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,rap canario",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
3k3NWokhRRkEPhCzPmV8TW,"4q3ewBCX7sLwd24euuV69X,5n9bMYfz9qss2VOW89EVs2","Ojitos Lindos","Un Verano Sin Ti","Bad Bunny,Bomba Estéreo",2022-05-06,258298,87,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino,cumbia,latin alternative,latin rock,pop electronico,tropical alternativo",0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,4
1PtQJZVZIdWIYdARpZRDFO,"1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,85,spotify:user:,2022-11-30T13:47:00Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
